property_id,city,latitude,longitude,rooms,square_meters,floor_value,floor_count,building_type,build_year,centre_distance,listing_type,price
1715b49ac5d84841d889fcb5ae417281,szczecin,53.474167,14.537222,2.0,35.91,1.0,3.0,apartmentBuilding,2022.0,5.86,sale,510000
a88bf2e434edfebbeeeb1a3d5d42945b,szczecin,53.46146895,14.54384832,2.0,35.91,1.0,3.0,blockOfFlats,2022.0,4.38,sale,510000
7f01f6b7966a28a66576c0c00cd0ffc0,szczecin,53.4621958,14.5271756,4.0,74.07,1.0,3.0,apartmentBuilding,2019.0,4.86,sale,1194280
fa1636f72c08d19dff0b42d934828ba4,szczecin,53.3744824,14.6583778,3.0,77.1,3.0,12.0,blockOfFlats,1985.0,8.44,sale,719000
9d9bafb173c892afa2e5411a93dcdb4b,szczecin,53.4485606,14.545625,3.0,57.66,3.0,4.0,blockOfFlats,1940.0,2.98,sale,560000
3ae90f4f6ecc63ab8e82911621630f47,szczecin,53.365833,14.661389,3.0,62.6,2.0,4.0,blockOfFlats,1994.0,9.24,sale,595000
1282cf566bd2f1923b00558388566c3b,szczecin,53.41162747,14.4910698,2.0,53.26,10.0,11.0,blockOfFlats,1993.0,4.81,sale,439000
586a5b3b6eb3247d84b1d3043c3361e7,szczecin,53.42952013,14.5392662,2.0,45.0,1.0,2.0,tenement,1920.0,1.59,sale,490000
00bdeb23976d448c5b51064b769ed7e1,szczecin,53.422655,14.5383241,2.0,52.9,2.0,4.0,blockOfFlats,1999.0,1.5,sale,550000
9c2d6280c4112ad4db0b39d7c2b2fb63,szczecin,53.4048278,14.5262513,1.0,32.0,4.0,4.0,blockOfFlats,1950.0,3.09,sale,309000
d32ff98199daf8c1657ef0fee0a2aca4,szczecin,53.4279217,14.53787763,4.0,122.0,3.0,4.0,tenement,1936.0,1.61,sale,893000
0afa5b24f6ce50b3b60d2986187ba32a,szczecin,53.39442076,14.49296665,3.0,57.55,3.0,3.0,blockOfFlats,2015.0,5.54,sale,629000
20d1c63696d5ed90138e87553f91416e,szczecin,53.457778,14.5825,3.0,68.4,1.0,4.0,blockOfFlats,2014.0,4.08,sale,749000
ccb7afe542baacc828955ac8a04d3aec,szczecin,53.44695,14.55296,3.0,75.0,5.0,5.0,blockOfFlats,1992.0,2.67,sale,595000
66a803371621d448477050d4889fd64d,szczecin,53.3845668,14.6307115,3.0,65.0,4.0,4.0,blockOfFlats,1996.0,6.33,sale,529000
4cc84890d38ed89d10d448ff15639317,szczecin,53.4466,14.543,4.0,81.0,3.0,4.0,tenement,1935.0,2.84,sale,699000
ae416898b5aa08f62fb49497f070f1af,szczecin,53.418611,14.549722,2.0,38.53,1.0,4.0,apartmentBuilding,2020.0,0.92,sale,580000
859ad4859d5448112eb2108f6300364b,szczecin,53.447465,14.544262,2.0,37.8,4.0,11.0,blockOfFlats,1978.0,2.9,sale,399000
ff411b18f0dd721cb2d466542d9c4daa,szczecin,53.4308373,14.5419351,2.0,38.64,4.0,10.0,blockOfFlats,1970.0,1.51,sale,350000
cb4dc5a0be70ef22183f331cc95f95ee,szczecin,53.4355425,14.4998384,3.0,88.0,3.0,3.0,blockOfFlats,1997.0,4.27,sale,820000
b451227425d4a816600be247ca0cf05f,szczecin,53.4293,14.4794,2.0,56.91,3.0,4.0,blockOfFlats,2020.0,5.44,sale,529000
a8e8ff264e9e62f666e6fd4db784d545,szczecin,53.43040734,14.54798412,2.0,63.48,4.0,4.0,tenement,1949.0,1.16,sale,619000
8bef418005d0d93d8e0f7152b7736495,szczecin,53.4259318,14.5561425,2.0,35.02,5.0,5.0,blockOfFlats,2015.0,0.43,sale,449000
96fcd3b88e6eb72af01195b906e66513,szczecin,53.44372,14.56076,4.0,86.8,4.0,5.0,apartmentBuilding,2009.0,2.26,sale,1030000
69c2eb7417085f0c319843d0a5b20805,szczecin,53.432222,14.555833,3.0,74.6,3.0,3.0,tenement,1930.0,1.04,sale,629000
d40433b15719e5cbf63ca5852c0e8f06,szczecin,53.433178,14.5115598,2.0,47.0,4.0,10.0,blockOfFlats,1980.0,3.45,sale,394000
7b4501e4a8305571b3e11ef23af90dda,szczecin,53.4273184,14.543117,4.0,74.9,4.0,4.0,tenement,1930.0,1.26,sale,369000
44ec01e37e0b098035e3a67b3b853c2f,szczecin,53.448635,14.57168,3.0,69.5,4.0,5.0,blockOfFlats,2004.0,2.89,sale,589000
5506a412eafe7cf695f295f3b9f5ebeb,szczecin,53.4187193,14.5445331,3.0,63.14,1.0,6.0,blockOfFlats,2018.0,1.21,sale,639000
